日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2016-12-30,'600006,东风汽车,6.88,6.95,6.85,6.93,6.92,-0.04,-0.578,0.3786,7572309,52232499.0,13760000000.0,13760000000.0
2016-12-29,'600006,东风汽车,6.92,7.01,6.88,6.88,6.93,-0.01,-0.1443,0.4656,9311585,64628012.0,13840000000.0,13840000000.0
2016-12-28,'600006,东风汽车,6.93,7.07,6.89,7.05,7.04,-0.11,-1.5625,0.6951,13902812,96732721.0,13860000000.0,13860000000.0
2016-12-27,'600006,东风汽车,7.04,7.13,6.99,7.1,7.12,-0.08,-1.1236,0.6045,12090522,85376862.0,14080000000.0,14080000000.0
2016-12-26,'600006,东风汽车,7.12,7.13,6.95,7.07,7.12,0.0,0.0,0.6823,13646870,95911412.0,14240000000.0,14240000000.0
2016-12-23,'600006,东风汽车,7.12,7.28,7.09,7.21,7.26,-0.14,-1.9284,1.2741,25481790,182328635.0,14240000000.0,14240000000.0
2016-12-22,'600006,东风汽车,7.26,7.43,7.07,7.12,7.06,0.2,2.8329,1.862,37240547,269897820.0,14520000000.0,14520000000.0
2016-12-21,'600006,东风汽车,7.06,7.13,6.95,6.98,6.98,0.08,1.1461,1.0141,20282978,142943055.0,14120000000.0,14120000000.0
2016-12-20,'600006,东风汽车,6.98,7.02,6.9,7.0,7.08,-0.1,-1.4124,0.8248,16496210,114640121.0,13960000000.0,13960000000.0
2016-12-19,'600006,东风汽车,7.08,7.27,6.8,6.93,6.94,0.14,2.0173,2.0557,41113250,289118112.0,14160000000.0,14160000000.0
2016-12-16,'600006,东风汽车,6.94,7.35,6.9,7.1,6.68,0.26,3.8922,2.1351,42702195,302153220.0,13880000000.0,13880000000.0
2016-12-15,'600006,东风汽车,6.68,6.75,6.64,6.66,6.67,0.01,0.1499,0.3994,7988247,53455295.0,13360000000.0,13360000000.0
