index,year,month,day,title,contents,related_stocks
1,2018,2018,28,6_28______________,2018_6_28______________________LNG_____3450_/__________________________,['____']
2,2018,2018,29,_________ _____________,"__
__________________________________________________


______________________________________________________________________600_____________________________600___________10%___60_____________________________________________________________________________________________________________________________________________2017 ________10000___________3570_______________________________________________________28___________50_________________________________________________8_____“____”______________________________________________2017____________190_________200_______400______________________200_________67__________________200____________________________________106___________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________PE_VC________________________________________________________________60_______________________________________________________",['__']
3,2018,2018,26,___________ ____________,"6_26_________PingPong_____________Shopee_____________PingPong_Shopee___________Shopee____(________________________)_______“____”_______________
__PingPong CMO_____“____”____“_____________________Shopee_________________PingPong_______Shopee_____PingPong_Shopee__________________6__________________________________PingPong_____________________”
__Shopee_____________“_____________Shopee_________________________________PingPong_________________________________________________Shopee__________________________________________”
_____________2025________________ 2000_______________________________________________Shopee_________PingPong________________________________________________________________
______________________PingPong_________________________________PingPong____________________________________________________PingPong________________________________________________
_____Shopee________________2017_Shopee GMV__41________258%_2018______Shopee GMV___19________199.5%______Shopee__________APP___________Shopee____________________________
__PingPong______________________________________________________VAT_____________________PingPong____15W+________43_____________1____
_____PingPong____________________________________________________PingPong____(__)_________________________________________________________(__Fintech____)______________________________",['____']
4,2018,2018,26,6_26___________,"_______________________
_____________________26_________________________________________________________
_________________________“___________________”__________________10___________________“_________________________________________________________________________________”_____1500___________________8100______________
____9_30________________________________________
_________________________________________
_____10______________________________________________________________________________________________________________
__________________________________________________________________________________
__________________________________________________“____”_____________________________________________________________________________________________________________________________________________________
_________________________________________________________________________________________________________________________________________________________________________________________________
_______________________________________________________________________________________________________________________________________________________________
_________________________________________________________________________________________8_________________________________________________________________________________________________________
____________________________________________
______________________________________________________________________
______________________
__________6_25________________________________________________30________________________________________________________
_______________________________________________________________________________________________________________________________
_________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
______________________________________________________________________________________________
___________________________
_______________________26_______________________________14____________“____________”______
_________________________________________________________________________________________________________________________________
____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________“_______”________________________________________________________________________________________________________________________
___________________________________
_________________
_________________
____________________26___________________________________________________
_______________________________________________________________________________________________________________“____”__________________________________________________________________________________________________________
__________________________________________________________________
__________
_____________________
__________26__________________________
_____________________________________________________________________________________________________________________________________________“____”________________________________________________
______________________________________________________________________
______2018______________
___________________________________8_23__25__________“___________”____________________________________________________“___”______
________
_________________
___________________2018__________________14__________453__________1000____________________________54________127___ 
_______________
_________“___”________________________________________16____7__8_________“___”_____
_________________
_________________________________“________”________2300__197__________________11____
__________________
_____________________________________________________________________________40__(___)_______100________________________________1_________________
_______________________________________________________________________________“____”___5___________
________
__________________
__________________________________-__________25____________________-________25______________________________________________________________________
__2018______________________
__2018_________B____________________________________________________________________C____________________________________________1:1________________________
____________________________________________________________
_______A_______________________________________3:0_______________________2:1_______________________________________
________22_______________________2_______________________________","['___', '__', '__', '__', '___', '__']"
5,2018,2018,28,_________________________,"__
_______________________________________________________(________)______________________


______________________________(________)_________________
_____________________________________________________________________________________________________________________________________2018_______
________________________________________________2018_____________________________________________________________________________________________________________________________________________
______________________________________________________________________________________________________________________________________________________________________________________",[]
6,2018,2018,27,____5__________21% ________,_____________________2018_1-5___________________16.5%____1-4____1.5________5____21.1%__4______0.8_________________________________5_________4_______________________________________________________________________1-5________________________________________________________________________________________________________1-5_________________________8103.5_______28.7%___________93.1_____4.4%____________19119.8_____20.6%__________________6739.1_____6.9%___________7466.2_____10.6%___1-5____________2333.6_______41.6%__________23150.1_____13.8%_______________________1814.6_____26.1%___1-5____41_________31____________10_________________________________14.8%____________2.6___________1.3%________________27.9%_______________27.7%___________44.6%_______________1.1___________9.6%__________22.2%________0.5%_____________1.9%___________________4.3%______________27.8%______0.1%_______________11.5%___1-5___________________42.9________10.2%_________36.3______9.8%___________6.36%_____0.35_______5_______________108.8________7.4%_____61.6______6.3%________47.2______8.8%_______56.6%_____0.6_______5_______________13.5________10.6%______41246.3_____7.3%___1-5_________________________84.49______0.31________________8.1______0.04_________________96______2.4___________126.1_______14_____________16.6______0.2____________45.5_________5_________________6070.6_______21.1%____4____0.8_____,[]
7,2018,2018,28,__ ___________,"6_28__21____________________________________________
_____________________________________________________________________________________
_____________________64_____2019_9___________2023_7_________________2024______
________
__28___10:30________________________________(S08_)___________________________________________(S09_)_____________________________________
_____________________________________“____________”______________24_________________6.8____________________________“_________________________”_____________________
______________________________32_____________46_10.6_165______1______________________32_______615______________55____________________
______________________2500___________________________________________________________________________________________________________________________________________________________________________________________________
___________________________________________________________________________________________________________________
__________________________________________________________
_________
________________________________________________________________2________________________________(S08_)_________E23~E32________________________________________________________2019_9________2020_8_______(E32)_2022_6_____________(E23)_____
______________________________(S09_)____________________________E1~E22____________________________________________________64_________2023_7______________2024______
__________________________“____________________________________________________________________________________________”
__________________________________“S08_S09______________________________________________________________________________________________”
__________
______“___”_____________________________________________________
___________________________2018_6______________________________________________________________________________________________________________4______________2018____________________________________________9____________11___________",[]
8,2018,2018,27,____1-5_________________1.1_,____5________________________________________________________________________________1-5___________________27298.3_______16.5%____1-4____1.5_____________________________________1-5_________________________________1.1_____________44.6%________________27.7%_____________2.6_______________27.8%__________________________70%___1-5____41_________31____________10_________________________________14.8%____________2.6___________1.3%________________27.9%_______________27.7%___________44.6%_______________1.1___________9.6%__________22.2%________0.5%_____________1.9%___________________4.3%______________27.8%______0.1%_______________11.5%_,"['____', '____']"
9,2018,2018,29,____________,"____________“__”______6_28__________________1_________(CG001)____90%_____12.4%__________________10%____________(Shibor)_____________________6_______________________________________2018_________________________________________________
__________
_______6_28________________2018_______6_27________________________________________________________________________________________________________________________________________________
______________________________6_28______800__7________600__7__500__14__700__28__________________1000____________________6____________________________________________
__________________________________________________“_________”_____________“________________”_________6_20_________________
_______________________________________6_28___________32__________7__14__28________1.29___________________1.33_________400______6_24__________________2018_7_5____________0.5________________“___”__________________________7000_________
______________
____________________________________(Shibor)_____6_28________Shibor_____________________Shibor________15.6_____2.289%______6____
____________________________________6_28_______________GC001_____7.7%_____12.4%______9.495%_____88.58%_GC002___7%_______11%______9.2%___40.24%_GC003_GC004_______10%_________9.2%_________30%_
_____________________“_____”____1_____(R-001)___6.1%_____12.304%______5.65%___46.75%_R-002_R-003_R-004____5%__________10%_________4%__3.5%_
____Shibor_________________________Shibor_______________________________________________Shibor__________Shibor____________6_28____2.841% ______0.7____________________________2.95%_2.9%_
___________Shibor____________“__”_________________Shibor_6_25________6_28_____2.2_______Shibor_6_19_______6_28_____14.8_______________________6_______
___________
_________4_17_____________(MLF)_____________________1_______________10%_2-7___________6%_________________“__”_____________
____________________“____”_________________________________________________________________________________________________________________________________________________________________
_________________________________________500________________________________________________________________________________________________________
________________________________________________________________________________________________
________________________________________________________________________________________________","['____', '__', '____', '____', '____']"
10,2018,2018,27,____600_______ _____1500__,__27_____________6__________________________________________________________________________________________6_27___________7__600________________700__7___400__14___1000__28______________1500___,['__']
11,2018,2018,29,__________________________,"6_29____________6_28_____________“____________”_______________________________
__________________________________________________________________________________________________________________
______________________________________________________________________________________________________________________________________________________________________________________________________",['____']
12,2018,2018,27,______________,"_______________________________________________________________________________________________________________________________
________2018_5_1____________________________(_)_(_)_(_)_(_)_______________________19%________2019_4_30___2018_5_1_____________1%____(__0.5%___0.5%)_2019_4_30___2018_5_1______________(_____________)_________50%_2019_4_30__
______________________________________________________________",['__']
13,2018,2018,27,________________,"________27_________________________________________________
_____________2017_11_23______________________________________________________________________________
_______________________________“____”_______________97__
__________________________________________________________________________________“________________”“______________”“_________(____)”“___________________”“_________________”“__________”_________________________________________________
_________________500_______________________________________________________________________________________TD-SCDMA____________________________
__________________________________________________________________________","['____', '____', '____', '____', '____']"
14,2018,2018,29,_____ __________________,"________________________________________(________)__________________________________________________2025___(___)____300__________
_____________________________________________________________________________________________________________________
________
____________________________________________________________________________________________________________
____________________________________________________
_______________________________________________2016_________________500___________________________________________________________7__________________________________________________________________________________________________________________________________________
__________________________________________________________________________________________________________________________________________
_________________________________________________________________________________________________________________
_______
__________“__”______________________2016____________________2___________2016_______958_(__469____489_)__2017_________1273_(___)______356____________76%________2017___28%_
___________________2020___________3000____________________________________________________________________________________________________________
____________________________________2017___________38%___2016__48%___10%________________20%____93%_____________________________8%________2017______2016________________________6558___4139__34_/___20_/__________4%_
___________________________________________________________________________________________________________________________
____________________________________________________________________________________________________________________________________________________________________
_____________
____________________________________________________________________________________________________________________________________________
____________________________________________________________________________________________________________________________________________________________________________________________________
__________________________________________________________________________“__”________________________________________________
______________________________________________________________________________“__”_________
________________________________________________2018_______________________________________________
______________________________________________________________________________________________",[]
