日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2016-12-30,'600018,上港集团,5.12,5.13,5.06,5.1,5.08,0.04,0.7874,0.045,10241271,52181477.0,1.18649214208e+11,1.16506519808e+11
2016-12-29,'600018,上港集团,5.08,5.14,5.07,5.11,5.11,-0.03,-0.5871,0.036,8187228,41701108.0,1.17722267222e+11,1.15596312622e+11
2016-12-28,'600018,上港集团,5.11,5.13,5.05,5.06,5.06,0.05,0.9881,0.0628,14291962,72987817.0,1.18417477462e+11,1.16278968012e+11
2016-12-27,'600018,上港集团,5.06,5.1,5.05,5.1,5.1,-0.04,-0.7843,0.0487,11075734,56207274.0,1.17258793729e+11,1.15141209029e+11
2016-12-26,'600018,上港集团,5.1,5.11,5.05,5.1,5.12,-0.02,-0.3906,0.0382,8689564,44112203.0,1.18185740715e+11,1.16051416215e+11
2016-12-23,'600018,上港集团,5.12,5.16,5.09,5.14,5.16,-0.04,-0.7752,0.0396,9013056,46138384.0,1.18649214208e+11,1.16506519808e+11
2016-12-22,'600018,上港集团,5.16,5.19,5.1,5.12,5.13,0.03,0.5848,0.0919,20906926,107838668.0,1.19576161194e+11,1.17416726994e+11
2016-12-21,'600018,上港集团,5.13,5.13,5.08,5.1,5.1,0.03,0.5882,0.0678,15424764,78754648.0,1.18880950954e+11,1.16734071604e+11
2016-12-20,'600018,上港集团,5.1,5.1,5.05,5.09,5.09,0.01,0.1965,0.0521,11858779,60146366.0,1.18185740715e+11,1.16051416215e+11
2016-12-19,'600018,上港集团,5.09,5.13,5.08,5.11,5.1,-0.01,-0.1961,0.0378,8598199,43818851.0,1.17954003968e+11,1.15823864418e+11
2016-12-16,'600018,上港集团,5.1,5.1,5.05,5.06,5.06,0.04,0.7905,0.0391,8900960,45233551.0,1.18185740715e+11,1.16051416215e+11
2016-12-15,'600018,上港集团,5.06,5.11,5.02,5.06,5.06,0.0,0.0,0.0789,17959458,91002155.0,1.17258793729e+11,1.15141209029e+11
2016-12-14,'600018,上港集团,5.06,5.12,5.05,5.12,5.12,-0.06,-1.1719,0.059,13428716,68336234.0,1.17258793729e+11,1.15141209029e+11
2016-12-13,'600018,上港集团,5.12,5.13,5.09,5.12,5.15,-0.03,-0.5825,0.0422,9598340,49052113.0,1.18649214208e+11,1.16506519808e+11
2016-12-12,'600018,上港集团,5.15,5.21,5.04,5.2,5.22,-0.07,-1.341,0.1895,43119781,220772045.0,1.19344424448e+11,1.17189175198e+11
2016-12-09,'600018,上港集团,5.22,5.23,5.18,5.21,5.21,0.01,0.1919,0.0839,19087722,99229361.0,1.20966581673e+11,1.18782037773e+11
